Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Hawkins_PeeWee,Hawkins,PeeWee,NoDad,NoBro,NoBro,Unrelated,19.68,8.59,-11.09,248,35.25,2115,38,0,0,0,1,0,0,0,0,5
Hicks_PeeWee,Hicks,PeeWee,NoDad,NoBro,NoBro,Unrelated,17.68,8.59,-9.09,325,47.07,2824.2,50,0,1,1,16,0,0,0,0,15
Lovano_PeeWee,Lovano,PeeWee,NoDad,NoBro,NoBro,Unrelated,14.93,8.59,-6.34,310,44.5,2670,46,1,5,6,5,0,0,0.85,0.85,19
Mitchell_PeeWee,Mitchell,PeeWee,NoDad,NoBro,NoBro,Unrelated,15.68,8.59,-7.09,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,4
Peterson_PeeWee,Peterson,PeeWee,NoDad,NoBro,NoBro,Unrelated,19.68,8.59,-11.09,289,40.94,2456.4,43,0,1,1,6,0,0,0,0,16
Porkpie_PeeWee,Porkpie,PeeWee,NoDad,NoBro,NoBro,Unrelated,20.68,8.59,-12.09,300,43.38,2602.8,45,0,0,0,5,0,0,0,0,15
Wayne_PeeWee,Wayne,PeeWee,NoDad,NoBro,NoBro,Unrelated,18.68,8.59,-10.09,300,43.77,2626.2,45,0,1,1,3,0,0,1.2,1.2,5
Wes_PeeWee,Wes,PeeWee,NoDad,NoBro,NoBro,Unrelated,17.26,8.59,-8.67,316,43.43,2605.8,46,0,0,0,2,0,0,0,0,2
Wilson_PeeWee,Wilson,PeeWee,NoDad,NoBro,NoBro,Unrelated,14.76,8.59,-6.17,321,46.98,2818.8,48,1,4,5,10,0,0,0,0,22
Abrams_Powell,Abrams,Powell,NoDad,NoBro,NoBro,Unrelated,14.76,8.67,-6.09,297,42.85,2571,45,0,0,0,0,0,0,0,0,2
Barron_Powell,Barron,Powell,NoDad,NoBro,NoBro,Unrelated,13.51,8.67,-4.84,283,41.91,2514.6,45,0,0,0,1,0,0,0,0,1
Benny_Powell,Benny,Powell,NoDad,NoBro,NoBro,Unrelated,14.26,8.67,-5.59,314,43.22,2593.2,45,0,0,0,0,0,0,0,0,0
Booker_Powell,Booker,Powell,NoDad,NoBro,NoBro,Unrelated,12.39,8.67,-3.72,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,1
Buckner_Powell,Buckner,Powell,NoDad,NoBro,NoBro,Unrelated,14.68,8.67,-6.01,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,0
Django_Powell,Django,Powell,NoDad,NoBro,NoBro,Unrelated,17.68,8.67,-9.01,309,44.26,2655.6,46,0,0,0,0,0,0,0,0,3
Erroll_Powell,Erroll,Powell,NoDad,NoBro,NoBro,Unrelated,12.67,8.67,-4,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,0
Evans_Powell,Evans,Powell,NoDad,NoBro,NoBro,Unrelated,18.68,8.67,-10.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,2
Haden_Powell,Haden,Powell,NoDad,NoBro,NoBro,Unrelated,15.68,8.67,-7.01,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,2
Hawkins_Powell,Hawkins,Powell,NoDad,NoBro,NoBro,Unrelated,19.68,8.67,-11.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
Hicks_Powell,Hicks,Powell,NoDad,NoBro,NoBro,Unrelated,17.68,8.67,-9.01,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,1
Lovano_Powell,Lovano,Powell,NoDad,NoBro,NoBro,Unrelated,14.93,8.67,-6.26,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_Powell,Mitchell,Powell,NoDad,NoBro,NoBro,Unrelated,15.68,8.67,-7.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_Powell,Peterson,Powell,NoDad,NoBro,NoBro,Unrelated,19.68,8.67,-11.01,289,40.94,2456.4,43,0,0,0,2,0,0,0,0,3
Porkpie_Powell,Porkpie,Powell,NoDad,NoBro,NoBro,Unrelated,20.68,8.67,-12.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_Powell,Wayne,Powell,NoDad,NoBro,NoBro,Unrelated,18.68,8.67,-10.01,300,43.77,2626.2,45,0,0,0,0,0,0,0,0,0
